driver_id,full_name,phone,license_number,status
34,Yessi Maryadi,+62 (020) 791-8476,lr1975669,Nonaktif
35,Mustofa Haryanto,+62 (017) 161 0213,tz9111927,Aktif
36,Sidiq Prasetya,(0719) 509-9124,qI5068091,Nonaktif
37,Uda Padmasari,+62 (048) 189-7792,Nt1301810,Nonaktif
38,Paulin Mansur,+62 (62) 081 5063,XJ3034974,Aktif
39,Yance Ardianto,082 527 4537,MV4473692,Nonaktif
40,Ciaobella Damanik,(0481) 976 7897,yr4126998,Aktif
41,Wani Oktaviani,+62 (78) 898 4829,we1875657,Aktif
42,"R.M. Balidin Hakim, M.Ak",+62 (61) 348 4678,PH2043637,Aktif
43,Kani Siregar,+62 (043) 267 4420,HE1736012,Aktif
44,R.M. Raihan Nashiruddin,+62-149-295-9881,pI9710361,Aktif
45,T. Ibun Pratiwi,+62 (319) 128 8729,Ca9973785,Nonaktif
46,Baktianto Wastuti,+62 (078) 951-2650,sF6356464,Nonaktif
47,"Dr. Karta Mandasari, M.M.",+62-0680-963-9724,Ak8226706,Aktif
48,Adinata Firgantoro,(076) 891 9168,sw6789292,Aktif
49,Fitriani Maryati,+62-61-749-8215,hT0943833,Nonaktif
50,Jane Natsir,(090) 113 8889,fE7316614,Nonaktif
51,"Azalea Pertiwi, M.Ak",0861350618,iq2642458,Nonaktif
52,Caturangga Prasetya,+62 (0143) 278-6375,cZ6271278,Nonaktif
53,Salimah Saputra,+62 (81) 962-6487,zb5784871,Nonaktif
54,Zaenab Mansur,+62 (23) 017-0709,nQ9415349,Nonaktif
55,Ella Santoso,+62 (41) 758-3609,eK3901182,Nonaktif
56,R.M. Bakianto Sihombing,+62 (37) 926 0375,ez2444669,Aktif
57,Raden Usada,+62 (0611) 833-7437,Aj9898722,Aktif
58,Queen Susanti,0830306116,Wq2635240,Aktif
59,Wage Gunarto,+62-98-477-8853,Kh6422997,Aktif
60,KH. Jasmani Maryati,+62 (096) 248 2745,ht9165935,Aktif
61,"Ajiono Pranowo, S.Farm",0855889271,wT3998523,Nonaktif
62,Drajat Astuti,(0346) 969 1300,zr1914955,Nonaktif
63,"Padmi Irawan, S.Pt",+62-85-751-2087,mJ0391782,Aktif
64,Septi Januar,(015) 264 1167,AM1590046,Aktif
65,Janet Anggriawan,+62 (543) 274 0054,ox5048617,Aktif
66,Paris Napitupulu,+62 (0974) 989-1245,rQ5779566,Aktif
67,Eka Prasetya,(0843) 425 7570,wO4916498,Aktif
68,"Umaya Prasasta, M.Pd",0848347038,xf5140766,Nonaktif
69,Dina Handayani,+62-698-294-5702,cL3258496,Aktif
70,"Shakila Laksita, S.H.",+62 (0239) 990 5968,ge7755543,Aktif
71,"Dr. Capa Yolanda, S.Psi",+62 (591) 946 8646,uX4106945,Aktif
72,"Azalea Kurniawan, S.H.",(029) 162 3406,uB4654444,Nonaktif
73,Latif Widiastuti,+62-77-332-4085,oG5241094,Aktif
74,Ella Namaga,(056) 131-8735,jh2879307,Nonaktif
75,Jasmani Maheswara,0870950483,sL3466340,Aktif
76,Damar Hartati,+62-135-940-7046,BO7667142,Nonaktif
77,Cinta Usamah,(0227) 056-5195,ll9329864,Nonaktif
78,Bakidin Yulianti,+62 (0574) 760-6842,Kf3386827,Aktif
79,R.M. Adika Haryanti,+62 (000) 031-2584,aC1794889,Nonaktif
80,Azalea Suartini,+62 (39) 184-0118,ZM5710051,Nonaktif
81,Drs. Jessica Hakim,+62 (0682) 080-5673,Ag2765520,Aktif
82,Tiara Pratama,+62 (0441) 207-7353,GB4744617,Aktif
83,Dr. Mahesa Susanti,(0553) 016-0348,ai2763276,Nonaktif
84,"Ir. Eman Pradipta, M.Ak",+62 (040) 862-4793,RS2393922,Nonaktif
85,Genta Wijaya,+62-87-157-7611,lv8803410,Nonaktif
86,Dr. Cinta Kuswandari,(083) 934 3765,hE2039958,Aktif
87,Juli Suryono,0851589161,xC3564135,Nonaktif
88,Reza Anggriawan,(048) 413-8083,dy9829914,Nonaktif
89,"Patricia Budiyanto, M.Farm",+62 (023) 116-1853,mk0352697,Nonaktif
90,Bahuwarna Wahyuni,+62 (102) 148 2134,IC5566533,Aktif
91,Gilang Rahmawati,+62 (55) 495 9904,fF7162286,Nonaktif
92,Yahya Winarno,(0300) 881-6020,hX8490584,Nonaktif
93,Bahuwarna Rajata,+62 (046) 683-6900,aY4552146,Aktif
94,Balamantri Pratama,+62 (0317) 850 5352,pU3660278,Nonaktif
95,"Puspa Fujiati, S.Kom",(0375) 754 7716,zn2583758,Nonaktif
96,Hari Maryadi,+62 (041) 004-1211,qe8481360,Aktif
97,"Lutfan Kuswoyo, M.Pd",(0278) 160 2029,Ko5112541,Aktif
98,"Latika Sudiati, M.TI.",+62 (869) 329 1894,WQ3614100,Nonaktif
99,Jamalia Wibisono,+62 (990) 170-7360,sv8647142,Aktif
100,Yunita Pertiwi,+62 (980) 475-8438,oM9243082,Nonaktif
101,"Yessi Halim, S.E.I",+62 (0863) 230-2766,uH0279939,Nonaktif
102,"Ade Siregar, S.Pt",+62 (052) 621 0717,Jh2482787,Aktif
103,"drg. Hesti Hardiansyah, S.I.Kom",+62 (944) 475 4968,Rn6847012,Nonaktif
104,Lanang Sitorus,(0958) 442 8182,kl3991411,Nonaktif
105,"dr. Jayadi Saragih, M.Farm",(0963) 549-6754,yn1575796,Aktif
106,Irfan Pratiwi,+62-948-164-4366,QT4155545,Aktif
107,Farhunnisa Sitompul,+62 (059) 468 0953,oK5752230,Aktif
108,Gandewa Rajasa,(0788) 529-4170,Wk1717096,Aktif
109,"Septi Gunarto, S.Sos",+62 (0530) 214 2295,ih1647573,Nonaktif
110,Baktiadi Irawan,+62 (376) 274-1650,Gb5276996,Nonaktif
111,Zelda Padmasari,+62-046-442-1773,PS0911799,Aktif
112,"Prabu Ardianto, S.T.",(083) 434 7649,OX9320040,Nonaktif
113,Among Prakasa,+62 (0720) 536-1955,Ws8351506,Nonaktif
114,Jarwi Wacana,082 429 4645,wa2135340,Nonaktif
115,Xanana Setiawan,+62-0284-335-5092,dZ9118441,Nonaktif
116,Ira Hakim,(0781) 227 6221,mx4482019,Aktif
117,Jabal Sihombing,(0141) 976-5866,yz9958362,Aktif
118,R.A. Padmi Damanik,(025) 915-8271,Cz4951358,Aktif
119,"Sutan Aditya Tarihoran, S.Ked",(0417) 751-4165,ZT2271769,Aktif
120,Taufik Kuswandari,+62 (052) 562 7817,bK6059762,Nonaktif
121,Jail Rahmawati,089 312 5945,Fe5764508,Aktif
122,Pranawa Wacana,+62 (0322) 032 7278,Gh2905248,Nonaktif
123,Darman Saputra,+62 (083) 595 9152,Lk2094335,Aktif
124,"Dr. Eja Utama, S.I.Kom",+62 (066) 807 8676,DH9982561,Aktif
125,Endra Narpati,(074) 863 0952,LK1900395,Nonaktif
126,"R. Olivia Halim, S.Psi",+62-0996-211-5025,it1715569,Aktif
127,Lidya Hardiansyah,+62 (60) 974 6832,hD1284649,Aktif
128,Rahmi Riyanti,+62 (046) 882 2384,Tf6438448,Nonaktif
129,Tari Pudjiastuti,+62 (04) 147-1648,xl9870640,Nonaktif
130,Laksana Mulyani,+62 (66) 333-7390,Lk0871726,Nonaktif
131,Cengkal Simbolon,+62 (31) 694-8029,hG5451471,Aktif
132,"dr. Cici Maheswara, S.Gz",+62-049-942-4300,iU5094818,Aktif
133,"Tgk. Darmaji Wasita, S.H.",089 160 1686,jV5937267,Aktif
134,Elma Wibisono,+62-0624-278-0519,SP9271233,Nonaktif
135,Anggabaya Manullang,+62 (770) 682-3794,HB1062420,Aktif
136,Harimurti Mayasari,(063) 054-6373,SQ9418573,Aktif
137,Tgk. Cahyadi Dongoran,+62-448-987-0379,QT0734605,Aktif
138,"Warta Gunawan, M.Kom.",+62 (045) 341-5673,XL0626628,Nonaktif
139,Lintang Pratama,(0228) 031-0744,lT3227917,Aktif
140,Radika Mangunsong,+62 (982) 639 8954,aH5738470,Aktif
141,"R. Danang Hakim, S.Ked",(056) 120 9375,VE9656357,Nonaktif
142,Rendy Permata,(020) 408-8586,qd6618040,Aktif
143,Leo Anggriawan,(028) 815-4308,fE5123179,Aktif
144,"Mulyanto Saragih, S.IP",+62 (77) 963 4424,CZ6174031,Nonaktif
145,Ifa Kusumo,+62 (014) 476 2021,rf7391993,Nonaktif
146,Nadine Maulana,(088) 976 6742,sx1309365,Nonaktif
147,Nyoman Anggraini,+62 (016) 513 6048,dn3434823,Aktif
148,KH. Bancar Pudjiastuti,(0618) 345-1374,Oh5578097,Aktif
149,drg. Lukita Aryani,+62-962-493-9782,gJ2476753,Aktif
150,Gabriella Purwanti,+62 (14) 326-8414,eB7187458,Aktif
151,"dr. Queen Napitupulu, S.I.Kom",+62-908-228-6778,iE1518230,Nonaktif
152,Chelsea Pranowo,0872946125,nU9228998,Nonaktif
153,"Karen Kusmawati, S.I.Kom",+62-533-506-3312,MJ6313497,Aktif
154,"Ami Nababan, M.Kom.",+62-24-877-0447,to5421805,Aktif
155,"Sabri Prayoga, S.Sos",+62 (00) 745 3540,nh7528312,Aktif
156,Nadia Budiyanto,+62-647-394-6293,Yz0931640,Aktif
157,"Hardana Anggriawan, S.Kom",087 669 3063,SN2921673,Nonaktif
158,Zulfa Natsir,(047) 664-6177,jh8619330,Nonaktif
159,"Cemplunk Maryati, S.Sos",+62-70-870-7636,FV6670910,Aktif
160,Febi Namaga,+62 (286) 993 4037,Bh3892126,Nonaktif
161,"Alambana Puspasari, S.IP",+62 (393) 458-8530,gY8048353,Aktif
162,Tgk. Dian Prasetyo,0834193660,WC4560580,Aktif
163,Betania Sitompul,+62 (191) 068 7735,ly2998052,Aktif
164,Indah Permadi,+62 (39) 808-8874,Rv4067846,Aktif
165,Rahayu Hutagalung,+62 (0919) 265 1004,vd0977848,Aktif
166,Labuh Wahyudin,(053) 956-4482,fD1270513,Aktif
167,"Dr. Jefri Yuniar, S.Ked",0829368087,BW6159904,Nonaktif
168,"Ir. Karen Prasasta, S.Ked",+62 (0806) 853-1858,Xn1326502,Nonaktif
169,"Arsipatra Mandasari, M.Pd",+62-847-578-0793,hS8107861,Aktif
170,Puti Kani Saragih,(005) 803-9920,MU6918530,Nonaktif
171,Asman Rahimah,+62 (05) 009 8895,ne9763428,Aktif
172,Dr. Eva Palastri,+62 (031) 169 4570,pP2196086,Aktif
173,Simon Siregar,+62 (0425) 667-2869,Xw9935210,Aktif
174,"Nrima Siregar, S.E.I",+62 (756) 729 5616,Pm2968809,Aktif
175,Luwes Sihotang,+62 (72) 279-9211,Rt0881723,Aktif
176,Raina Zulkarnain,+62-0951-976-2759,Zk4607780,Nonaktif
177,dr. Hani Nuraini,+62 (006) 572 9027,OD2924335,Nonaktif
178,Galur Hassanah,+62 (0986) 624-7581,AF4746160,Nonaktif
179,Daru Nababan,+62-097-385-9100,pH5627424,Aktif
180,Usyi Nasyiah,+62 (017) 586 1605,sG0628530,Nonaktif
181,Mila Setiawan,+62 (0600) 874-4153,zq1284962,Nonaktif
182,drg. Danang Prastuti,+62-065-021-7649,lM0358705,Nonaktif
183,Cahyono Hassanah,+62 (0179) 805-0164,cl1631896,Nonaktif
184,Tantri Habibi,(0220) 266-5823,uj7306927,Nonaktif
185,"Ratna Zulkarnain, S.H.",(076) 915-5566,Ii4351051,Aktif
186,T. Balapati Mandala,+62 (01) 865 6519,Pw3529635,Nonaktif
187,"drg. Paulin Andriani, S.Kom",(0001) 838-1305,oJ3494347,Aktif
188,"Dr. Purwadi Dongoran, S.Pd",(072) 360 0646,VD7507058,Nonaktif
189,Yessi Mayasari,+62 (005) 126-3637,mo9068515,Aktif
190,Cindy Hardiansyah,0853775036,pp6859797,Aktif
191,Rusman Uwais,+62-022-879-7260,Jr5285132,Aktif
192,Cici Puspasari,+62 (0646) 098 5252,Tc5953485,Aktif
193,Ir. Rahmi Winarsih,+62-86-653-1171,vy4951598,Nonaktif
194,R.A. Irma Lestari,+62 (017) 545 0021,Cl4515891,Nonaktif
195,"Maimunah Siregar, S.Farm",+62 (078) 714-4335,OU3565795,Aktif
196,R. Kasiyah Anggriawan,+62-011-428-0962,jx6448806,Aktif
197,Ir. Eman Maryati,+62 (80) 529 2853,JT8157887,Aktif
198,Zizi Sihombing,+62 (869) 716-8226,mJ2648088,Aktif
199,"Dt. Cemani Yuniar, S.Gz",+62 (0048) 395-7197,as1480608,Aktif
200,Dina Latupono,(098) 551 8379,UZ3736278,Nonaktif
201,Dr. Mala Hakim,(0411) 338-2176,KV7512106,Nonaktif
202,Betania Wibisono,+62-0780-715-0459,tw0691734,Nonaktif
203,Ir. Tina Pradana,+62 (048) 352 6361,ks9371024,Aktif
204,Febi Samosir,089 253 8251,Ng9947844,Nonaktif
205,Calista Suryatmi,+62 (82) 922 4976,Kf8239578,Nonaktif
206,Winda Maryadi,(097) 701 8713,wL9302429,Aktif
207,Cinta Prasasta,+62 (921) 136-8026,eR4922631,Nonaktif
208,Calista Mangunsong,+62 (0864) 172-8007,rh8682759,Aktif
209,Dimas Nasyiah,0847361400,Zz6106487,Nonaktif
210,Tgk. Samiah Wibisono,+62 (083) 925 9490,Ah0745924,Nonaktif
211,Anastasia Uwais,088 962 9921,uw7605850,Nonaktif
212,Aris Haryanti,+62 (0976) 530 9483,vm5428984,Nonaktif
213,Kardi Winarno,+62-71-047-1478,Rf1716059,Aktif
214,Betania Lazuardi,+62 (0967) 336 9985,OJ8419974,Nonaktif
215,Mila Sinaga,086 863 1031,IN9910652,Aktif
216,Dr. Sabar Suryatmi,+62 (0562) 511-0132,Sv5247765,Aktif
217,dr. Mutia Lestari,(081) 695 3597,sl6810638,Nonaktif
218,Lega Pudjiastuti,+62-95-031-9952,JU4769519,Nonaktif
219,Warsita Puspita,088 233 4606,UZ2479252,Nonaktif
220,Sarah Pratiwi,+62-66-387-5573,tO5152294,Nonaktif
221,T. Among Nainggolan,0818571963,It6935528,Aktif
222,Ajeng Mandala,+62 (064) 478 4576,Pm6353936,Nonaktif
223,"Hj. Vicky Thamrin, M.M.",+62-083-204-7357,xY2145538,Aktif
224,Padmi Rahimah,(067) 418-6294,Xi2673876,Nonaktif
225,Latif Saefullah,+62-76-540-1208,kY3602569,Nonaktif
226,R.A. Nurul Puspasari,087 963 4429,YO9426327,Nonaktif
227,"Kenes Simanjuntak, S.Pt",085 191 5575,Ua9169652,Aktif
228,Ida Zulkarnain,+62 (058) 610-4086,ul2176618,Aktif
229,"Malika Hardiansyah, S.Sos",+62 (0818) 947-1163,nd5440499,Aktif
230,drg. Ulya Mansur,(037) 037-1234,OU7240558,Nonaktif
231,Shakila Hidayanto,+62-086-942-4343,dN6868743,Nonaktif
232,"Asirwanda Mulyani, S.E.I",+62 (0227) 856-5333,iC1199561,Aktif
233,Maimunah Zulkarnain,+62-0865-334-1837,pZ0834916,Nonaktif
234,Sabar Pudjiastuti,+62 (0694) 263-5503,Di3736381,Aktif
235,Latika Nurdiyanti,(0441) 512-4857,dn6172576,Nonaktif
236,dr. Ulva Wibowo,(0027) 102-4126,uc4226262,Nonaktif
237,Raina Firmansyah,(0630) 695-7479,qw1900473,Aktif
238,Dr. Elvina Kusumo,+62-93-710-3599,zt4209702,Nonaktif
239,Tgk. Ina Safitri,+62-064-985-4207,iR8925865,Nonaktif
240,"Bakianto Purwanti, S.Sos",+62 (057) 457 8278,OQ6663341,Nonaktif
241,Dewi Iswahyudi,+62-65-654-2880,Jk3812615,Nonaktif
242,Janet Mahendra,0808195944,Xo3621722,Aktif
243,Artawan Sihombing,+62 (82) 030 2806,dN3361344,Nonaktif
244,Kawaca Lazuardi,+62-071-340-1197,be5642667,Aktif
245,Hj. Ani Najmudin,+62-0900-660-9851,iZ2798634,Nonaktif
246,Kanda Sihotang,+62-673-373-5065,ru4106697,Aktif
247,Kenzie Purnawati,+62-0416-601-6704,zE0716380,Nonaktif
248,Ani Rajasa,+62 (047) 067 8897,NG7937988,Aktif
249,"R.A. Fathonah Ramadan, M.Ak",+62 (38) 442 2643,Ga3631040,Nonaktif
250,"Kasusra Hutasoit, S.Psi",(0874) 276-9036,Yd7435402,Nonaktif
251,Salwa Latupono,089 498 2058,Du1858893,Nonaktif
252,"Bala Wastuti, S.E.",+62 (071) 506 3552,zb0761177,Aktif
253,Laila Prasetya,+62-0770-369-3393,CF4259209,Aktif
254,"Reksa Sihotang, S.I.Kom",+62 (0703) 503-0811,Go2064628,Nonaktif
255,Dartono Wastuti,+62 (074) 225-2815,LK6056117,Aktif
256,"Cut Elisa Suryatmi, S.I.Kom",+62 (029) 871 0622,Zu0562615,Aktif
257,Latif Yolanda,(082) 497-7904,hM9572826,Aktif
258,R.M. Teddy Utami,(0353) 746-2779,iM9827800,Aktif
259,"Drs. Ciaobella Permata, S.Psi",+62-765-737-3672,Ko3369045,Aktif
260,Erik Maryati,+62 (268) 378-8973,hM0451335,Nonaktif
261,Zelaya Sinaga,(048) 286 3243,Il4777738,Nonaktif
262,Tami Maryadi,+62-083-215-8848,cO6088254,Nonaktif
263,"Himawan Prabowo, S.Farm",0839605150,wp2102339,Nonaktif
264,Cahyo Pradipta,+62 (031) 745 8351,eq3415844,Nonaktif
265,"T. Legawa Maulana, S.Psi",+62-40-566-9508,ay0755934,Nonaktif
266,Gilda Novitasari,+62 (31) 342 7684,wk2788121,Aktif
267,Puti Salwa Budiyanto,(060) 727-6211,yq4458771,Nonaktif
268,Najwa Lestari,(086) 719-8914,NQ6990300,Aktif
269,"Banawi Situmorang, S.IP",+62 (004) 508 6740,lt2215547,Nonaktif
270,Edison Fujiati,+62 (56) 545-5872,HH0935718,Nonaktif
271,Oliva Nuraini,+62 (43) 339 4917,rM2595903,Nonaktif
272,"Septi Pradana, S.Farm",+62-011-184-8400,ln7945677,Nonaktif
273,"Genta Uyainah, M.M.",+62 (023) 110 5212,vo0953034,Aktif
274,Salwa Susanti,+62-971-704-2244,QO3223187,Aktif
275,Gasti Purnawati,+62 (050) 993-1880,mM9039623,Nonaktif
276,Respati Winarno,+62-012-869-3604,uc3960722,Nonaktif
277,Marwata Uwais,+62 (0343) 287 4647,aw1516278,Nonaktif
278,Drs. Laras Zulaika,+62 (0349) 420 0866,eQ0530290,Aktif
279,Bakiadi Kurniawan,+62 (312) 048 8776,wi3831532,Aktif
280,Galuh Hartati,+62 (539) 322-6101,aC0999918,Nonaktif
281,Puspa Pratama,+62 (44) 359 7773,xh5818173,Nonaktif
282,drg. Wardi Gunawan,+62 (289) 587 6252,Ly3526125,Aktif
283,Jais Habibi,+62 (0068) 372 8514,ey5596991,Nonaktif
284,Zalindra Usada,+62-311-614-2038,yG3293017,Aktif
285,Indah Siregar,083 507 7086,Ma0172795,Nonaktif
286,"Zaenab Sihombing, S.H.",0817673284,nE3080442,Aktif
287,Wahyu Palastri,+62-068-636-3277,XQ6955680,Aktif
288,Yance Hastuti,+62 (0216) 398 5598,Xm1822390,Aktif
289,"Hj. Endah Waskita, M.Pd",+62 (049) 425 5443,KZ7796989,Aktif
290,Vanya Budiyanto,+62 (62) 554-3544,MI8266872,Nonaktif
291,Patricia Uwais,+62 (320) 199 4504,gy4594306,Nonaktif
292,R.M. Arta Rahmawati,(0284) 914-2568,oP5019161,Aktif
293,Luthfi Agustina,(085) 595 5776,cz1640420,Nonaktif
294,Ella Pertiwi,+62 (0833) 534 5644,Jy0946131,Nonaktif
295,"Dr. Kamila Pudjiastuti, M.Pd",+62 (162) 628-7720,zH8767162,Nonaktif
296,"Luis Mansur, S.E.I",+62 (220) 846-5006,qo0417537,Nonaktif
297,Tgk. Drajat Thamrin,(065) 860 1315,Cc1946635,Aktif
298,Kartika Sirait,+62 (051) 806 3454,Bp6220599,Aktif
299,Kacung Pangestu,(037) 386-8232,os5698495,Aktif
300,"Drs. Rahmi Iswahyudi, S.Sos",+62 (0917) 432-4055,Al4644492,Aktif
